iter	Passed	Remaining
0	72	72599
1	72	36381
2	73	24305
3	73	18266
4	73	14643
5	73	12228
6	74	10502
7	74	9208
8	74	8201
9	74	7395
10	74	6736
11	75	6187
12	75	5722
13	75	5324
14	75	4978
15	76	4676
16	76	4409
17	76	4172
18	76	3960
19	76	3769
20	77	3596
21	77	3439
22	77	3296
23	77	3164
24	78	3043
25	78	2932
26	78	2828
27	78	2732
28	78	2642
29	79	2561
30	79	2489
31	124	3757
32	124	3651
33	124	3550
34	125	3456
35	125	3366
36	125	3279
37	126	3195
38	126	3115
39	126	3040
40	127	2985
41	128	2925
42	128	2862
43	128	2802
44	129	2745
45	129	2690
46	130	2637
47	130	2587
48	130	2538
49	131	2493
50	131	2448
51	131	2406
52	132	2364
53	132	2324
54	133	2286
55	133	2249
56	133	2213
57	134	2179
58	134	2146
59	134	2113
60	135	2082
61	135	2052
62	136	2022
63	136	1994
64	140	2016
65	140	1989
66	140	1962
67	141	1933
68	141	1908
69	141	1884
70	142	1860
71	142	1837
72	142	1815
73	143	1793
74	143	1772
75	144	1751
76	144	1731
77	144	1711
78	145	1692
79	145	1673
80	145	1655
81	146	1637
82	146	1620
83	147	1603
84	147	1584
85	147	1568
86	147	1550
87	148	1534
88	148	1520
89	148	1506
90	149	1490
91	149	1475
92	149	1460
93	149	1445
94	150	1432
95	150	1419
96	151	1405
97	151	1393
98	151	1381
99	152	1370
100	152	1358
101	152	1344
102	153	1333
103	153	1322
104	153	1311
105	154	1300
106	154	1289
107	155	1280
108	155	1271
109	155	1261
110	159	1279
111	160	1269
112	160	1259
113	160	1250
114	161	1240
115	161	1229
116	161	1220
117	162	1216
118	162	1205
119	163	1195
120	163	1186
121	163	1176
122	163	1166
123	163	1157
124	163	1147
125	164	1139
126	164	1130
127	164	1120
128	164	1112
129	164	1104
130	165	1095
131	165	1087
132	165	1079
133	165	1071
134	166	1064
135	166	1056
136	166	1048
137	166	1040
138	166	1033
139	167	1026
140	167	1019
141	167	1012
142	167	1005
143	167	998
144	168	991
145	168	985
146	168	978
147	168	972
148	169	965
149	169	959
150	169	952
151	169	946
152	169	940
153	170	934
154	170	928
155	170	922
156	170	916
157	170	911
158	171	905
159	171	899
160	171	894
161	171	888
162	182	935
163	182	930
164	182	924
165	182	919
166	183	913
167	183	908
168	183	902
169	183	897
170	184	892
171	184	886
172	184	881
173	184	876
174	184	872
175	185	868
176	185	863
177	185	858
178	186	853
179	186	848
180	186	843
181	186	838
182	186	834
183	187	829
184	187	825
185	187	820
186	187	816
187	187	811
188	188	807
189	188	803
190	188	798
191	188	794
192	189	790
193	189	786
194	189	782
195	189	778
196	189	774
197	190	770
198	190	766
199	190	763
200	192	764
201	192	761
202	192	757
203	193	753
204	193	749
205	193	746
206	193	742
207	194	738
208	194	735
209	194	731
210	194	727
211	194	724
212	195	720
213	195	717
214	195	714
215	195	710
216	195	707
217	196	703
218	196	700
219	196	697
220	196	693
221	197	690
222	197	687
223	197	684
224	197	681
225	198	678
226	198	675
227	198	672
228	198	668
229	198	666
230	199	663
231	199	661
232	200	658
233	200	656
234	201	656
235	201	653
236	201	650
237	202	647
238	202	644
239	202	641
240	202	638
241	203	636
242	203	633
243	203	630
244	203	627
245	203	625
246	204	622
247	204	619
248	204	616
249	204	614
250	204	611
251	205	609
252	205	606
253	205	603
254	205	601
255	206	598
256	206	596
257	206	594
258	206	591
259	207	589
260	207	586
261	207	584
262	207	582
263	207	579
264	208	577
265	208	574
266	208	572
267	208	570
268	209	567
269	209	565
270	209	563
271	209	561
272	209	558
273	210	556
274	210	554
275	210	552
276	210	550
277	210	547
278	211	545
279	211	543
280	211	541
281	211	539
282	211	537
283	212	534
284	212	532
285	212	530
286	212	528
287	213	528
288	214	526
289	214	524
290	214	522
291	214	520
292	214	518
293	215	516
294	215	514
295	215	512
296	215	510
297	216	508
298	216	507
299	216	505
300	216	503
301	217	501
302	217	499
303	217	497
304	217	496
305	217	494
306	218	492
307	218	490
308	218	488
309	218	487
310	219	485
311	219	483
312	219	481
313	219	479
314	219	478
315	220	476
316	220	474
317	220	472
318	220	471
319	220	469
320	221	467
321	221	466
322	221	464
323	221	462
324	221	461
325	222	459
326	222	457
327	222	456
328	222	454
329	223	453
330	223	451
331	223	450
332	223	448
333	224	447
334	224	445
335	224	443
336	224	442
337	225	440
338	225	439
339	225	437
340	225	436
341	226	434
342	226	433
343	226	431
344	226	430
345	226	428
346	227	427
347	227	425
348	227	424
349	227	423
350	228	421
351	228	420
352	228	418
353	229	418
354	229	417
355	230	416
356	230	414
357	230	413
358	230	412
359	231	410
360	231	409
361	231	408
362	231	406
363	232	405
364	232	404
365	232	402
366	232	401
367	232	400
368	233	398
369	233	397
370	233	396
371	233	394
372	234	393
373	234	392
374	234	390
375	234	389
376	234	388
377	235	386
378	235	385
379	235	384
380	235	383
381	236	381
382	236	380
383	236	379
384	236	378
385	236	376
386	237	375
387	237	374
388	237	373
389	237	371
390	238	370
391	238	369
392	238	368
393	238	367
394	238	366
395	239	364
396	239	363
397	239	362
398	239	361
399	240	360
400	240	358
401	240	357
402	240	356
403	241	355
404	241	354
405	241	353
406	241	352
407	241	350
408	242	349
409	242	348
410	242	347
411	242	346
412	243	345
413	243	344
414	243	343
415	243	342
416	243	341
417	244	339
418	244	338
419	244	337
420	244	336
421	245	335
422	245	334
423	245	333
424	245	332
425	245	331
426	246	330
427	246	329
428	246	328
429	246	327
430	247	326
431	247	325
432	247	324
433	247	323
434	247	322
435	248	321
436	248	320
437	248	319
438	248	318
439	249	317
440	249	315
441	249	314
442	249	313
443	249	312
444	250	311
445	250	310
446	250	309
447	250	308
448	250	307
449	251	306
450	251	305
451	251	305
452	251	304
453	252	303
454	252	302
455	252	301
456	252	300
457	252	299
458	253	298
459	253	297
460	253	296
461	253	295
462	253	294
463	254	293
464	254	292
465	254	291
466	254	290
467	255	290
468	255	289
469	255	288
470	255	287
471	255	286
472	256	285
473	256	284
474	256	283
475	256	282
476	256	281
477	257	280
478	257	279
479	257	278
480	257	278
481	257	277
482	258	276
483	258	275
484	258	274
485	258	273
486	258	272
487	259	272
488	259	271
489	259	270
490	259	269
491	260	268
492	260	267
493	260	267
494	260	266
495	261	265
496	261	264
497	261	263
498	261	262
499	261	261
500	262	261
501	262	260
502	262	259
503	262	258
504	262	257
505	263	256
506	263	256
507	263	255
508	263	254
509	263	253
510	264	252
511	264	251
512	264	251
513	264	250
514	265	249
515	265	248
516	265	247
517	265	247
518	265	246
519	266	245
520	266	244
521	266	244
522	266	243
523	267	242
524	267	241
525	267	240
526	267	240
527	267	239
528	268	238
529	268	237
530	268	237
531	268	236
532	268	235
533	269	234
534	269	234
535	269	233
536	269	232
537	270	231
538	270	231
539	270	230
540	270	229
541	270	228
542	271	228
543	271	227
544	271	226
545	271	225
546	271	225
547	272	224
548	272	223
549	272	223
550	272	222
551	273	221
552	273	220
553	273	220
554	273	219
555	274	218
556	274	218
557	274	217
558	274	216
559	274	216
560	275	215
561	275	214
562	275	213
563	275	213
564	276	212
565	276	211
566	276	211
567	276	210
568	276	209
569	277	209
570	277	208
571	277	207
572	277	207
573	278	206
574	278	205
575	278	204
576	278	204
577	278	203
578	279	202
579	279	202
580	279	201
581	279	200
582	279	200
583	279	199
584	280	198
585	280	198
586	280	197
587	280	196
588	280	196
589	281	195
590	281	194
591	281	194
592	281	193
593	281	192
594	282	192
595	282	191
596	282	190
597	282	190
598	282	189
599	283	188
600	283	188
601	283	187
602	283	186
603	283	186
604	284	185
605	284	184
606	284	184
607	284	183
608	284	182
609	285	182
610	285	181
611	285	181
612	285	180
613	286	179
614	286	179
615	286	178
616	286	177
617	286	177
618	287	176
619	287	176
620	287	175
621	287	174
622	287	174
623	288	173
624	288	172
625	288	172
626	288	171
627	288	171
628	289	170
629	289	169
630	289	169
631	289	168
632	289	168
633	290	167
634	290	166
635	290	166
636	290	165
637	290	165
638	291	164
639	291	163
640	291	163
641	291	162
642	292	162
643	292	161
644	292	160
645	292	160
646	292	159
647	293	159
648	293	158
649	293	158
650	293	157
651	294	156
652	294	156
653	294	155
654	294	155
655	294	154
656	295	154
657	295	153
658	295	152
659	295	152
660	296	151
661	296	151
662	296	150
663	296	150
664	296	149
665	297	149
666	297	148
667	297	147
668	297	147
669	297	146
670	298	146
671	298	145
672	298	145
673	298	144
674	298	143
675	299	143
676	299	142
677	299	142
678	299	141
679	300	141
680	300	140
681	300	140
682	300	139
683	301	139
684	301	138
685	301	137
686	301	137
687	301	136
688	302	136
689	302	135
690	302	135
691	302	134
692	302	134
693	303	133
694	303	133
695	303	132
696	303	132
697	303	131
698	304	130
699	304	130
700	304	129
701	304	129
702	304	128
703	305	128
704	305	127
705	305	127
706	305	126
707	305	126
708	306	125
709	306	125
710	306	124
711	306	124
712	306	123
713	307	123
714	307	122
715	307	122
716	307	121
717	308	120
718	308	120
719	308	119
720	308	119
721	309	119
722	309	118
723	309	117
724	309	117
725	309	116
726	310	116
727	310	115
728	310	115
729	310	114
730	310	114
731	311	113
732	311	113
733	311	112
734	311	112
735	311	111
736	312	111
737	312	110
738	312	110
739	312	109
740	312	109
741	313	108
742	313	108
743	313	107
744	314	107
745	314	107
746	314	106
747	314	106
748	314	105
749	315	105
750	315	104
751	315	104
752	315	103
753	315	103
754	316	102
755	316	102
756	316	101
757	316	101
758	316	100
759	317	100
760	317	99
761	317	99
762	317	98
763	318	98
764	318	97
765	318	97
766	318	96
767	319	96
768	319	95
769	319	95
770	319	94
771	319	94
772	320	93
773	320	93
774	320	93
775	320	92
776	320	92
777	321	91
778	321	91
779	321	90
780	321	90
781	322	89
782	322	89
783	322	88
784	322	88
785	322	87
786	323	87
787	323	86
788	323	86
789	323	86
790	323	85
791	324	85
792	324	84
793	324	84
794	324	83
795	324	83
796	325	82
797	325	82
798	325	81
799	325	81
800	326	80
801	326	80
802	326	80
803	326	79
804	326	79
805	326	78
806	327	78
807	327	77
808	327	77
809	327	76
810	327	76
811	328	75
812	328	75
813	328	75
814	328	74
815	329	74
816	329	73
817	329	73
818	329	72
819	329	72
820	330	71
821	330	71
822	330	71
823	330	70
824	331	70
825	331	69
826	331	69
827	331	68
828	331	68
829	332	68
830	332	67
831	332	67
832	332	66
833	332	66
834	333	65
835	333	65
836	333	64
837	333	64
838	333	64
839	334	63
840	334	63
841	334	62
842	334	62
843	334	61
844	335	61
845	335	61
846	335	60
847	335	60
848	335	59
849	336	59
850	336	58
851	336	58
852	336	58
853	337	57
854	337	57
855	337	56
856	337	56
857	338	55
858	338	55
859	338	55
860	338	54
861	338	54
862	338	53
863	339	53
864	339	52
865	339	52
866	339	52
867	339	51
868	340	51
869	340	50
870	340	50
871	340	50
872	341	49
873	341	49
874	341	48
875	341	48
876	341	47
877	342	47
878	342	47
879	342	46
880	342	46
881	342	45
882	343	45
883	343	45
884	343	44
885	343	44
886	343	43
887	344	43
888	344	42
889	344	42
890	344	42
891	344	41
892	345	41
893	345	40
894	345	40
895	345	40
896	346	39
897	346	39
898	346	38
899	346	38
900	346	38
901	347	37
902	347	37
903	347	36
904	347	36
905	347	36
906	348	35
907	348	35
908	348	34
909	348	34
910	348	34
911	349	33
912	349	33
913	349	32
914	349	32
915	349	32
916	350	31
917	350	31
918	350	30
919	350	30
920	350	30
921	351	29
922	351	29
923	351	28
924	351	28
925	351	28
926	352	27
927	352	27
928	352	26
929	352	26
930	352	26
931	353	25
932	353	25
933	353	24
934	353	24
935	353	24
936	354	23
937	354	23
938	354	23
939	354	22
940	354	22
941	355	21
942	355	21
943	355	21
944	355	20
945	355	20
946	356	19
947	356	19
948	356	19
949	356	18
950	357	18
951	357	18
952	357	17
953	357	17
954	357	16
955	358	16
956	358	16
957	358	15
958	358	15
959	358	14
960	359	14
961	359	14
962	359	13
963	359	13
964	359	13
965	360	12
966	360	12
967	360	11
968	360	11
969	361	11
970	361	10
971	361	10
972	361	10
973	361	9
974	362	9
975	362	8
976	362	8
977	362	8
978	362	7
979	363	7
980	363	7
981	363	6
982	363	6
983	364	5
984	364	5
985	364	5
986	364	4
987	364	4
988	365	4
989	365	3
990	365	3
991	365	2
992	365	2
993	366	2
994	366	1
995	366	1
996	366	1
997	366	0
998	367	0
999	367	0
